description,label
"Community Garden Expansion: The community garden is expanding to allow more local residents to grow their own food.", 1
"Breakthrough in Alzheimer's Research: Scientists have identified a new target for Alzheimer's treatment.", 0
"Free Coding Classes for Teens: A tech group is offering free coding classes to teenagers.", 1
"New Dinosaur Species Unearthed: Paleontologists have discovered a new species of dinosaur in Argentina.", 0
"Recycling Program Success: The city's recycling program has significantly reduced waste.", 1
"New Galaxy Observed Through Telescope: Astronomers have observed a previously unknown galaxy.", 0
"Community Health Fair This Weekend: A health fair offering free screenings will take place this weekend.", 1
"Major Leap in Battery Technology: A new battery technology promises longer life for electronic devices.", 0
"Neighborhood Clean-Up Day Scheduled: Residents are encouraged to participate in the upcoming neighborhood clean-up day.", 1
"Revolutionary New Antibiotic Discovered: Researchers have discovered a new antibiotic that fights resistant bacteria.", 0
"Local Library Extends Hours: The local library will now be open longer to serve the community better.", 1
"New Method for Plastic Recycling: A breakthrough in plastic recycling could drastically reduce pollution.", 0
"Volunteer Firefighters Honored: The community is honoring its volunteer firefighters with a special ceremony.", 1
"Discovery of a New Comet: Astronomers have discovered a new comet passing close to Earth.", 0
"Black Friday: seven things to do instead of buying stuff Words by Gavin Haines November 2",1
"a startup is creating a concept to turn poverty into history",1 
